presentation_position,trace_sequence,frame_sequence,goal_completion,solver_completion,grounding_backend,solver_backend,solver_failure,body_grounded,root_hit,root_surface,pelvis_target,pelvis_resolved,reject_left,reject_right,pelvis_height_mode,movement_compensation_mode,left_grounded,left_hit,left_surface,left_plant_confidence,left_sole_height,left_placement_weight,left_plant_weight,left_contact_weight,left_goal_position_weight,left_goal_rotation_weight,left_constraint,left_transition,left_lock,left_prediction_reject,left_goal_application,left_goal_source,left_solver_result_available,left_leg_extension,left_ankle_twist,left_query_count,left_rejected_query_count,left_grounding_x,left_grounding_y,left_grounding_z,left_goal_x,left_goal_y,left_goal_z,left_solved_x,left_solved_y,left_solved_z,left_position_residual,left_rotation_residual_degrees,right_grounded,right_hit,right_surface,right_plant_confidence,right_sole_height,right_placement_weight,right_plant_weight,right_contact_weight,right_goal_position_weight,right_goal_rotation_weight,right_constraint,right_transition,right_lock,right_prediction_reject,right_goal_application,right_goal_source,right_solver_result_available,right_leg_extension,right_ankle_twist,right_query_count,right_rejected_query_count,right_grounding_x,right_grounding_y,right_grounding_z,right_goal_x,right_goal_y,right_goal_z,right_solved_x,right_solved_y,right_solved_z,right_position_residual,right_rotation_residual_degrees
1089,251,1089,1090,1090,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0009731739,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9404808,0,0,0,-0.2485212,0.295516,0.1287928,-0.2485212,0.295516,0.1287928,-0.2485213,0.295516,0.1287927,1.20137E-07,0,true,true,-1666,1,0.0001449422,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9455077,0,0,0,0.194391,0.2956716,0.06546425,0.194391,0.2956716,0.06546425,0.194391,0.2956716,0.06546428,5.161914E-08,0
1090,252,1090,1091,1091,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0008046557,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9395646,0,0,0,-0.2526813,0.2955357,0.1265905,-0.2526813,0.2955357,0.1265905,-0.2526814,0.2955357,0.1265904,1.20137E-07,0,true,true,-1666,1,-8.96058E-05,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9428328,0,0,0,0.1918606,0.2955241,0.06394374,0.1918606,0.2955241,0.06394374,0.1918607,0.2955242,0.06394372,8.560065E-08,0
1091,253,1091,1092,1092,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0006077273,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9381166,0,0,0,-0.2573685,0.2956848,0.1244893,-0.2573685,0.2956848,0.1244893,-0.2573686,0.2956849,0.1244892,1.341105E-07,0,true,true,-1666,1,-0.0003636957,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9391798,0,0,0,0.1892273,0.2954367,0.06077402,0.1892273,0.2954367,0.06077402,0.1892273,0.2954368,0.06077395,9.657056E-08,0
1092,254,1092,1093,1093,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0004673386,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9369649,0,0,0,-0.2604429,0.2959821,0.123361,-0.2604429,0.2959821,0.123361,-0.260443,0.2959822,0.1233609,1.125013E-07,0,true,true,-1666,1,-0.0005590924,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9367433,0,0,0,0.1868469,0.2953763,0.05933688,0.1868469,0.2953763,0.05933688,0.1868469,0.2953763,0.05933681,8.592428E-08,0
1093,255,1093,1094,1094,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0002643303,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9352984,0,0,0,-0.2644584,0.2964009,0.1221562,-0.2644584,0.2964009,0.1221562,-0.2644584,0.2964008,0.1221563,1.032383E-07,0,true,true,-1666,1,-0.0008416444,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9337471,0,0,0,0.1828392,0.2950022,0.05836733,0.1828392,0.2950022,0.05836733,0.1828392,0.2950022,0.05836744,1.156641E-07,0
1094,256,1094,1095,1095,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.0005736653,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9333847,0,0,0,-0.269459,0.2961943,0.1209244,-0.269459,0.2961943,0.1209244,-0.2694589,0.2961943,0.1209243,7.450581E-08,0,true,true,-1666,1,-0.001258715,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9296182,0,0,0,0.1781222,0.2940713,0.05459607,0.1781222,0.2940713,0.05459607,0.1781223,0.2940714,0.05459604,7.778635E-08,0
1095,257,1095,1096,1096,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.001058808,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.933096,0,0,0,-0.2733287,0.2956312,0.1182882,-0.2733287,0.2956312,0.1182882,-0.2733287,0.2956311,0.1182883,6.143906E-08,0,true,true,-1666,1,-0.001407501,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9270957,0,0,0,0.1745396,0.293833,0.05044414,0.1745396,0.293833,0.05044414,0.1745395,0.293833,0.05044413,1.173319E-07,0
1096,258,1096,1097,1097,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.001639256,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9374582,0,0,0,-0.2741494,0.2947669,0.1181979,-0.2741494,0.2947669,0.1181979,-0.2741494,0.2947669,0.1181978,1.301188E-07,0,true,true,-1666,1,-0.0004417992,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9284967,0,0,0,0.1703574,0.2949414,0.0491311,0.1703574,0.2949414,0.0491311,0.1703573,0.2949415,0.04913089,2.128312E-07,0
1097,259,1097,1098,1098,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.002275228,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9437978,0,0,0,-0.2743005,0.2942532,0.1176779,-0.2743005,0.2942532,0.1176779,-0.2743005,0.2942532,0.117678,1.212867E-07,0,true,true,-1666,1,0.000274506,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9340227,0,0,0,0.1683332,0.2957655,0.0483849,0.1683332,0.2957655,0.0483849,0.1683331,0.2957655,0.04838499,1.043081E-07,0
1098,260,1098,1099,1099,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.18,0.18,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.001858922,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9470091,0,0,0,-0.2705614,0.2946628,0.120463,-0.2705614,0.2946628,0.120463,-0.2705615,0.2946629,0.120463,6.82857E-08,0,true,true,-1666,1,0.0002545749,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9403355,0,0,0,0.1710247,0.2959765,0.04885925,0.1710247,0.2959765,0.04885925,0.1710247,0.2959765,0.04885931,1.077118E-07,0
1099,261,1099,1100,1100,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.173907,0.1760001,false,false,AllPlantedFeet,FollowBody,true,true,-1666,0.9933817,-0.00090672,1,0.9867634,0,0.9867634,0.9867634,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9185311,0,0,0,-0.2566928,0.2560826,0.03853827,-0.2566928,0.2560826,0.03853827,-0.2566928,0.2560951,0.03853833,1.245753E-05,0,true,true,-1666,1,8.368498E-05,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9182761,0,0,0,0.1867767,0.2562522,-0.02807319,0.1867767,0.2562522,-0.02807319,0.1867766,0.2562522,-0.02807321,1.093898E-07,0
1100,262,1100,1101,1101,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.04702855,0.07565291,false,false,AllPlantedFeet,FollowBody,true,true,-1666,0.9933817,-0.00090672,1,0.9867634,0,0.9867634,0.9867634,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.955749,0,0,0,-0.2566928,0.1283644,0.03853827,-0.2566928,0.1283644,0.03853827,-0.2566928,0.1287392,0.03853839,0.0003747344,0,true,true,-1666,1,8.368498E-05,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9570117,0,0,0,0.1867767,0.1285341,-0.02807319,0.1867767,0.1285341,-0.02807319,0.1867768,0.128534,-0.02807314,9.630074E-08,0
1101,263,1101,1102,1102,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1676,0.07907949,0.07826909,false,false,AllPlantedFeet,FollowBody,true,true,-1676,0.9983312,-0.002336301,1,0.9966625,0,0.9966625,0.9966625,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.7361385,0,0,0,0.09785172,0.2329874,-0.1161147,0.09785172,0.2329874,-0.1161147,0.09785174,0.2328522,-0.1161147,0.0001351833,0,true,true,-1666,0.6640524,0.005250604,1,0.3281049,0,0.3281049,0.3281049,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9438871,0,0,0,0.185819,-0.02310961,-0.128321,0.185819,-0.02310961,-0.128321,0.185819,0.1120793,-0.1283211,0.1351889,0
1102,264,1102,1103,1103,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1676,-0.0923602,-0.0606618,false,false,AllPlantedFeet,FollowBody,true,true,-1666,1,-0.006903275,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,1.019188,0,0,0,0.04606433,-0.04368633,-0.3701968,0.04606433,-0.04368633,-0.3701968,0.0463734,-0.03364012,-0.364454,0.01157587,0,true,true,-1676,1,0.008318062,1,1,0,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.5185172,0,0,0,-0.1073118,0.2419534,-0.09028485,-0.1073118,0.2419534,-0.09028485,-0.1073118,0.2419535,-0.09028479,8.560065E-08,0
1103,265,1103,1104,1104,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,false,true,-1676,0,-0.01392797,false,false,AllPlantedFeet,FollowBody,true,true,-1666,0,0.005945516,1,0,0,0,0,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.930013,0,0,0,-0.04966827,0.01624304,-0.4848437,-0.04966827,0.01624304,-0.4848437,-0.0496684,0.07958552,-0.4848435,0.06334248,1.34637,true,true,-1676,0.5,0.005249471,1,0,0,0,0,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.6698536,0,0,0,-0.1687356,0.2778246,0.1769835,-0.1687356,0.2778246,0.1769835,-0.1687358,0.1011671,0.1769835,0.1766574,0
1104,266,1104,1105,1105,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1676,0.01408036,0.003894155,false,false,AllPlantedFeet,FollowBody,true,true,-1666,0.261789,0.04665454,1,0,0,0,0,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.5840964,0,0,0,0.002483873,0.09857222,-0.2199143,0.002483873,0.09857222,-0.2199143,0.002483715,0.1125037,-0.2199144,0.01393144,0.6644049,true,true,-1676,0.5306144,-0.007075466,1,0.06122887,0,0.06122887,0.06122887,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9722705,0,0,0,0.0140939,0.3085285,0.5502092,0.0140939,0.3085285,0.5502092,0.01409378,0.09630182,0.550209,0.2122267,0
1105,267,1105,1106,1106,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,0.04707534,0.0326379,false,false,AllPlantedFeet,FollowBody,true,true,-1676,0.7244906,-0.01013524,1,0.4489813,0,0.4489813,0.4489813,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.382143,0,0,0,-0.1563408,0.289207,0.01892078,-0.1563408,0.289207,0.01892078,-0.1563408,0.2006235,0.01892069,0.08858347,0,true,true,-1656,0.664185,0.007918021,1,0.32837,0,0.32837,0.32837,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9719057,0,0,0,0.5390362,0.03149942,-0.1945867,0.5390362,0.03149942,-0.1945867,0.5390363,0.0683223,-0.1945866,0.03682289,0
1106,268,1106,1107,1107,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,-0.1248542,-0.07276046,false,false,AllPlantedFeet,FollowBody,true,true,-1666,0,0.03959972,1,0,0,0,0,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.5496224,0,0,0,-0.08238307,0.2334583,0.2058612,-0.08238307,0.2334583,0.2058612,-0.08238308,0.05722509,0.2058613,0.1762332,0,true,true,-1656,0.9572497,0.005568898,1,0.9144994,0,0.9144994,0.9144994,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.9925534,0,0,0,0.3484328,-0.05910859,-0.3873569,0.3484328,-0.05910859,-0.3873569,0.3484329,-0.05365649,-0.387357,0.005452096,0
1107,269,1107,1108,1108,rootmotion.finalik.grounding/explicit-pose-world-query-secondary-plant/v4,rootmotion.finalik.full-body-biped-ik/indexed-pose-backend,None,true,true,-1666,-0.09814334,-0.0897177,false,false,AllPlantedFeet,FollowBody,true,true,-1666,0,0.02989395,1,0,0,0,0,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.5404252,0,0,0,-0.04461542,0.2548115,0.2341194,-0.04461542,0.2548115,0.2341194,-0.04461545,0.0232372,0.2341195,0.2315743,0,true,true,-1656,1,0.00862959,1,1,0.04594463,1,1,Free,PolicyReleased,Unlocked,NoFutureLanding,GroundingEffectorTarget,FinalIkGrounding,true,0.8946081,0,0,0,0.24032,-0.01323587,-0.4489498,0.24032,-0.01323587,-0.4489498,0.24032,-0.01323584,-0.4489498,6.664002E-08,0
